Demand,Temperature,Humidity,hour,dayofweek,month,year,dayofyear
8500,22.5,65.2,0,1,4,2024,118
8200,21.8,67.1,1,1,4,2024,118
8100,21.3,68.4,2,1,4,2024,118
7950,20.9,69.2,3,1,4,2024,118
7800,20.5,70.1,4,1,4,2024,118
8050,21.0,69.5,5,1,4,2024,118
8600,21.8,68.0,6,1,4,2024,118
9200,22.5,66.5,7,1,4,2024,118
9800,23.1,65.3,8,1,4,2024,118
10200,23.8,64.1,9,1,4,2024,118
10600,24.5,63.2,10,1,4,2024,118
10900,25.0,62.5,11,1,4,2024,118
11100,25.4,61.8,12,1,4,2024,118
11000,25.7,61.2,13,1,4,2024,118
10800,25.9,60.9,14,1,4,2024,118
10500,25.6,61.5,15,1,4,2024,118
10200,25.1,62.3,16,1,4,2024,118
10600,24.5,63.0,17,1,4,2024,118
11000,23.8,63.8,18,1,4,2024,118
10800,23.2,64.5,19,1,4,2024,118
10400,22.8,65.2,20,1,4,2024,118
9900,22.3,65.9,21,1,4,2024,118
9400,21.9,66.5,22,1,4,2024,118
8900,21.5,67.1,23,1,4,2024,118
8400,21.2,67.8,0,2,4,2024,119
8100,20.8,68.5,1,2,4,2024,119
7900,20.4,69.3,2,2,4,2024,119
7700,20.0,70.2,3,2,4,2024,119
7600,19.7,71.0,4,2,4,2024,119
7850,20.1,70.4,5,2,4,2024,119
8400,20.9,69.1,6,2,4,2024,119
9000,21.7,67.8,7,2,4,2024,119
9600,22.5,66.4,8,2,4,2024,119
10100,23.2,65.0,9,2,4,2024,119
10500,23.9,63.8,10,2,4,2024,119
10800,24.5,62.7,11,2,4,2024,119
11000,24.9,61.9,12,2,4,2024,119
10900,25.2,61.3,13,2,4,2024,119
10700,25.4,60.8,14,2,4,2024,119
10400,25.1,61.4,15,2,4,2024,119
10100,24.6,62.2,16,2,4,2024,119
10500,24.0,63.0,17,2,4,2024,119
10900,23.3,63.9,18,2,4,2024,119
10700,22.7,64.6,19,2,4,2024,119
10300,22.2,65.3,20,2,4,2024,119
9800,21.8,66.0,21,2,4,2024,119
9300,21.4,66.6,22,2,4,2024,119
8800,21.0,67.2,23,2,4,2024,119
8300,20.7,67.9,0,3,4,2024,120
8000,20.3,68.7,1,3,4,2024,120
7800,19.9,69.5,2,3,4,2024,120
7600,19.5,70.4,3,3,4,2024,120
7500,19.2,71.2,4,3,4,2024,120
7750,19.6,70.6,5,3,4,2024,120
8300,20.4,69.3,6,3,4,2024,120
8900,21.2,68.0,7,3,4,2024,120
9500,22.0,66.7,8,3,4,2024,120
10000,22.7,65.3,9,3,4,2024,120
10400,23.4,64.1,10,3,4,2024,120
10700,24.0,63.0,11,3,4,2024,120
10900,24.4,62.2,12,3,4,2024,120
10800,24.7,61.6,13,3,4,2024,120
10600,24.9,61.1,14,3,4,2024,120
10300,24.6,61.7,15,3,4,2024,120
10000,24.1,62.5,16,3,4,2024,120
10400,23.5,63.3,17,3,4,2024,120
10800,22.8,64.2,18,3,4,2024,120
10600,22.2,64.9,19,3,4,2024,120
10200,21.7,65.6,20,3,4,2024,120
9700,21.3,66.3,21,3,4,2024,120
9200,20.9,66.9,22,3,4,2024,120
8700,20.5,67.5,23,3,4,2024,120
7800,20.1,68.2,0,4,4,2024,121
7500,19.7,69.0,1,4,4,2024,121
7300,19.3,69.8,2,4,4,2024,121
7100,18.9,70.7,3,4,4,2024,121
7000,18.6,71.5,4,4,4,2024,121
7200,19.0,70.9,5,4,4,2024,121
7800,19.8,69.6,6,4,4,2024,121
8500,20.6,68.3,7,4,4,2024,121
9200,21.4,67.0,8,4,4,2024,121
